Label,Stream,Comment
lh_17Networks_LH_VisCent_Striate,Ventral,"Primary visual cortex (striate, V1) representing central (foveal) vision projects heavily to ventral occipitotemporal areas for object recognition​ FRONTIERSIN.ORG . This foveal bias aligns with the ventral “what” pathway processing detailed form and identity​ FRONTIERSIN.ORG ."
lh_17Networks_LH_VisCent_ExStr_1,Ventral,"Central extrastriate cortex (e.g., foveal V2/V3) emphasizes foveal vision and high-detail features​ FRONTIERSIN.ORG . Such regions predominantly feed the ventral stream toward inferior temporal cortex to analyze object form/color (the “what” pathway)​ PMC.NCBI.NLM.NIH.GOV ​ FRONTIERSIN.ORG ."
lh_17Networks_LH_VisCent_ExStr_2,Ventral,"Central extrastriate cortex (foveal visual areas) – same network as VisCent_ExStr_1 – is involved in fine-detail vision near gaze center​ FRONTIERSIN.ORG . Its strong connectivity with ventral occipital-temporal regions (e.g., V4/IT) indicates a ventral stream role in object identification​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_VisPeri_Striate,Dorsal,"Peripheral primary visual cortex (peripheral V1) covers wide-field, coarse vision​ FRONTIERSIN.ORG . Emphasis on visual periphery and motion makes it integral to the dorsal “where/how” pathway for spatial awareness and action guidance​ FRONTIERSIN.ORG ​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_VisPeri_ExStrInf,Dorsal,"Peripheral inferior extrastriate cortex (ventral occipital areas processing upper-field periphery) contributes to motion/spatial analysis rather than object form. Despite its ventral location, its focus on peripheral vision and connectivity (e.g., with MT/MST) place it in the dorsal stream for visually guided action​ FRONTIERSIN.ORG ​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_VisPeri_ExStrSup,Dorsal,"Peripheral superior extrastriate cortex (dorsal occipital, e.g. V3A/V3B) processes wide-field motion and space​ FRONTIERSIN.ORG . These regions are key nodes of the dorsal stream (specialized for spatial vision and motion, “where” pathway) projecting to parietal cortex​ PMC.NCBI.NLM.NIH.GOV ​ FRONTIERSIN.ORG ."
lh_17Networks_LH_SomMotA_1,Dorsal,"Somatomotor Network A (dorsal somatosensory-motor cortex, e.g. upper limb/trunk area) interacts with dorsal visuomotor pathways for guiding actions​ PMC.NCBI.NLM.NIH.GOV . Its role in spatially guided movement (reaching/navigation) links it to the dorsal stream’s visuomotor control system​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_SomMotA_2,Dorsal,"Somatomotor Network A parcel (dorsal sensorimotor cortex) – like SomMotA_1 – is involved in body-centric spatial processing (e.g., reaching) and integrates visual inputs for action​ PMC.NCBI.NLM.NIH.GOV . This dorsal somatomotor region relies on dorsal stream information about object location for accurate movements​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_SomMotB_Cent,Ventral,"Somatomotor Network B (ventral central sulcus region, face/tongue area) is associated with ventral cortical systems. It is adjacent to perisylvian cortex (mouth, speech) and auditory areas, aligning more with ventral stream networks for multimodal object (e.g. face) processing rather than spatial guidance​ RESEARCHGATE.NET ​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SomMotB_S2,Ventral,Secondary somatosensory cortex (SII in parietal operculum) is part of SomMotB and is strongly connected with insula and temporal regions (for tactile-object integration)​ EN.WIKIPEDIA.ORG . Its role in identifying object qualities via touch/audiovisual integration ties it to ventral stream functions (the “what” aspects of stimuli)​ EN.WIKIPEDIA.ORG .
lh_17Networks_LH_SomMotB_Ins,Ventral,"Anterior insula (SomMotB_Ins) is a core node of the salience/ventral attention network​ JOURNALS.PHYSIOLOGY.ORG . It integrates internal bodily signals and sensory cues, and drives stimulus-driven attention, consistent with ventral stream circuits for identifying salient “what” information rather than spatial orienting​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SomMotB_Aud,Ventral,"Auditory cortex region (SomMotB_Aud, superior temporal) lies in the lateral temporal lobe and processes sound, often co-activating with ventral temporal stream areas for audiovisual object recognition (e.g. speech, voices)​ EN.WIKIPEDIA.ORG . Thus, it aligns with ventral networks concerned with identifying stimuli rather than visuospatial action."
lh_17Networks_LH_DorsAttnA_TempOcc,Dorsal,"Temporal-occipital junction (likely area MT+ in lateral occipital temporal cortex) is a motion-sensitive region feeding the dorsal pathway​ PMC.NCBI.NLM.NIH.GOV . MT/V5 and adjacent areas specialize in motion/depth and project to parietal cortex​ PMC.NCBI.NLM.NIH.GOV , making this DorsAttnA_TempOcc parcel a dorsal stream node for “where/how” visual motion processing."
lh_17Networks_LH_DorsAttnA_ParOcc,Dorsal,Parieto-occipital cortex (near precuneus/V6) in DorsAttnA is involved in visuo-spatial integration and scene processing – a dorsal stream function​ FRONTIERSIN.ORG . It connects occipital and superior parietal regions for spatial orientation in vision (part of the dorsal attention network for space and action)​ JOURNALS.PHYSIOLOGY.ORG .
lh_17Networks_LH_DorsAttnA_SPL,Dorsal,"Superior Parietal Lobule (SPL) is a classic dorsal stream region for spatial attention and visually guided reaching​ SCIENCEDIRECT.COM . SPL (DorsAttnA_SPL) lies in the dorsal attention network, encoding object location and guiding movements (“where/how” pathway)​ SCIENCEDIRECT.COM ​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DorsAttnB_TempOcc,Dorsal,"Another temporal-occipital parcel in DorsAttnB (likely MST or STS region) processes motion and peripheral stimuli, contributing to the dorsal stream​ PMC.NCBI.NLM.NIH.GOV . These temporo-occipital areas connect with parietal cortex (e.g. LIP/VIP) for tracking moving objects in space, solidifying their dorsal stream role​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DorsAttnB_PostC,Dorsal,"Postcentral cortex parcel (likely area VIP in Brodmann 2v) integrates visual and tactile information for spatial perception in personal space​ PMC.NCBI.NLM.NIH.GOV . Such multimodal parietal regions belong to the dorsal stream, supporting “where” computations (e.g., guiding hand-eye coordination)​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DorsAttnB_FEF,Dorsal,Frontal Eye Field (FEF) in dorsal attention network drives eye movements and spatial attention​ JOURNALS.PHYSIOLOGY.ORG . FEF is a known endpoint of the dorsal visual pathway (receiving input from IPS) and is crucial for the “where/how” stream in directing gaze and actions toward targets​ PMC.NCBI.NLM.NIH.GOV ​ JOURNALS.PHYSIOLOGY.ORG .
lh_17Networks_LH_DorsAttnB_PrCv,Dorsal,"Precentral (ventral) parcel in DorsAttnB (likely dorsal premotor cortex) is involved in planning visually guided actions (like reaching) in space​ JOURNALS.PHYSIOLOGY.ORG . As part of the dorsal frontoparietal network with FEF/IPS​ JOURNALS.PHYSIOLOGY.ORG , it uses spatial visual information (“how” pathway) to coordinate motor responses."
lh_17Networks_LH_SalVentAttnA_ParOper,Ventral,"Parietal Operculum parcel in Salience/Ventral Attention A (likely secondary somatosensory/vestibular area) detects salient somatosensory events. It works in the ventral attention “circuit-breaker” network​ RESEARCHGATE.NET ​ JOURNALS.PHYSIOLOGY.ORG , shifting attention to unexpected stimuli — a ventral-stream-like, stimulus-driven function."
lh_17Networks_LH_SalVentAttnA_PrCv,Ventral,"Precentral gyrus parcel in SalVentAttnA (perhaps adjacent to ventral premotor cortex) engages in stimulus-driven reorienting of actions. It’s part of the ventral frontoparietal attention system​ JOURNALS.PHYSIOLOGY.ORG , which interrupts ongoing activity to respond to salient “what” events, aligning with ventral stream attention control​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnA_Ins,Ventral,"Anterior insula in SalVentAttnA is a key salience network region orchestrating bottom-up attention to important stimuli​ JOURNALS.PHYSIOLOGY.ORG . It has strong connections with limbic and ventral sensory areas and initiates ventral stream-driven alerting, consistent with ventral network (exogenous attention) function​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnA_ParMed,Ventral,"Medial parietal parcel in SalVentAttnA (possibly posterior mid-cingulate zone) is involved in autonomic/limbic aspects of salience. As part of the ventral attention (salience) network, it helps evaluate salient stimuli rather than mapping spatial layout, fitting ventral-stream emotional/contextual processing​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnA_FrMed,Ventral,"Frontal medial parcel in SalVentAttnA (likely dorsal anterior cingulate cortex) activates for stimulus-driven target detection​ JOURNALS.PHYSIOLOGY.ORG . This region provides top-down control within the ventral attention/salience pathway, linking motivational significance to ventral stream cues (“what” is important)​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnB_IPL,Ventral,"Inferior Parietal Lobule (angular gyrus/TPJ) is a hallmark of the ventral attention network, detecting unexpected sensory events​ JOURNALS.PHYSIOLOGY.ORG . This SalVentAttnB_IPL parcel corresponds to the temporoparietal junction, which is specialized for bottom-up reorienting to salient “what” stimuli (ventral stream of attention)​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnB_PFCd,Ventral,"Dorsal prefrontal cortex in SalVentAttnB (likely middle frontal gyrus) is part of the ventral frontoparietal network that responds to salient events​ JOURNALS.PHYSIOLOGY.ORG . Although termed PFCd, here it participates in ventral attention, linking stimulus-driven inputs to executive processing (identifying and evaluating targets)​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnB_PFCl,Ventral,"Lateral prefrontal cortex (SalVentAttnB_PFCl) in ventral attention network engages during reorienting of attention​ JOURNALS.PHYSIOLOGY.ORG . This ventrolateral PFC region (inf. frontal gyrus) is strongly connected to TPJ​ JOURNALS.PHYSIOLOGY.ORG , serving the ventral stream function of detecting and responding to “what” stimuli."
